18:45:52.396 [main] INFO  org.fiap.entities.Colecoes - Create: Colecoes{id=0, nome='Cavaleiros do zodíaco', cards=[]}
18:45:52.678 [main] INFO  org.fiap.entities.Colecoes - Create: Colecoes{id=0, nome='Cavaleiros do zodíaco 2', cards=[]}
18:45:54.496 [main] INFO  org.fiap.entities.Card - Create: Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}
18:45:55.125 [main] INFO  org.fiap.entities.Card - Create: Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
18:45:55.697 [main] INFO  org.fiap.entities.Card - Create: Card{superTrunfo=false, cod_card='A3', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
18:51:49.220 [main] INFO  org.fiap.entities.Colecoes - Create: Colecoes{id=0, nome='Cavaleiros do zodíaco', cards=[]}
18:51:49.485 [main] INFO  org.fiap.entities.Colecoes - Create: Colecoes{id=0, nome='Cavaleiros do zodíaco 2', cards=[]}
18:52:07.299 [main] INFO  org.fiap.entities.Colecoes - ReadAll: [Colecoes{id=1, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=2, nome='Cavaleiros do zodíaco 2', cards=null}, Colecoes{id=3, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=4, nome='Cavaleiros do zodíaco 2', cards=null}]
18:54:02.755 [grizzly-http-server-6] INFO  org.fiap.entities.Card - ReadAll: [Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}, Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=false, cod_card='A3', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}]
18:54:57.282 [main] INFO  org.fiap.entities.Colecoes - ReadAll: [Colecoes{id=1, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=2, nome='Cavaleiros do zodíaco 2', cards=null}, Colecoes{id=3, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=4, nome='Cavaleiros do zodíaco 2', cards=null}]
19:00:00.191 [grizzly-http-server-1] INFO  org.fiap.entities.Colecoes - ReadAll: [Colecoes{id=1, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=2, nome='Cavaleiros do zodíaco 2', cards=null}, Colecoes{id=3, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=4, nome='Cavaleiros do zodíaco 2', cards=null}]
19:01:28.451 [grizzly-http-server-0] INFO  org.fiap.entities.Colecoes - ReadAll: [Colecoes{id=1, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=2, nome='Cavaleiros do zodíaco 2', cards=null}, Colecoes{id=3, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=4, nome='Cavaleiros do zodíaco 2', cards=null}]
19:02:13.011 [grizzly-http-server-2] INFO  org.fiap.entities.Colecoes - Create: Colecoes{id=0, nome='Cavaleiros do Zodíacooo 167', cards=null}
19:02:22.430 [grizzly-http-server-3] INFO  org.fiap.entities.Colecoes - Read: Colecoes{id=5, nome='Cavaleiros do Zodíacooo 167', cards=null}
19:03:11.420 [grizzly-http-server-7] INFO  org.fiap.entities.Colecoes - Update: Colecoes{id=0, nome='Cavaleiros do Zodíaco 167', cards=null}
19:03:14.816 [grizzly-http-server-8] INFO  org.fiap.entities.Colecoes - ReadAll: [Colecoes{id=1, nome='Cavaleiros do Zodíaco 167', cards=null}, Colecoes{id=2, nome='Cavaleiros do zodíaco 2', cards=null}, Colecoes{id=3, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=4, nome='Cavaleiros do zodíaco 2', cards=null}, Colecoes{id=5, nome='Cavaleiros do Zodíacooo 167', cards=null}]
19:03:27.648 [grizzly-http-server-6] INFO  org.fiap.entities.Colecoes - Read: [Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}, Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}]
19:04:02.204 [grizzly-http-server-9] INFO  org.fiap.entities.Colecoes - Read: Colecoes{id=5, nome='Cavaleiros do Zodíacooo 167', cards=null}
19:04:02.458 [grizzly-http-server-9] INFO  org.fiap.entities.Colecoes - Read: Colecoes{id=5, nome='Cavaleiros do Zodíacooo 167', cards=null}
19:04:02.692 [grizzly-http-server-9] INFO  org.fiap.entities.Colecoes - Delete: Colecoes{id=5, nome='Cavaleiros do Zodíacooo 167', cards=null}
19:04:06.710 [grizzly-http-server-10] INFO  org.fiap.entities.Colecoes - ReadAll: [Colecoes{id=1, nome='Cavaleiros do Zodíaco 167', cards=null}, Colecoes{id=2, nome='Cavaleiros do zodíaco 2', cards=null}, Colecoes{id=3, nome='Cavaleiros do zodíaco', cards=null}, Colecoes{id=4, nome='Cavaleiros do zodíaco 2', cards=null}]
19:04:25.209 [grizzly-http-server-11] INFO  org.fiap.entities.Card - ReadAll: [Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}, Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=false, cod_card='A3', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}]
19:04:51.465 [grizzly-http-server-12] INFO  org.fiap.entities.Card - Create: Card{superTrunfo=true, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}
19:05:38.638 [grizzly-http-server-0] INFO  org.fiap.entities.Card - ReadAll: [Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}, Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=false, cod_card='A3', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=true, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}]
19:06:20.652 [grizzly-http-server-2] INFO  org.fiap.entities.Card - Read: Card{superTrunfo=true, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}
19:09:04.156 [main] INFO  org.fiap.entities.Card - Update: Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:09:04.744 [main] INFO  org.fiap.entities.Card - Read: Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:09:04.769 [main] INFO  org.fiap.entities.Card - Delete: Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:09:58.688 [main] INFO  org.fiap.entities.Card - Create: Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:09:59.155 [main] INFO  org.fiap.entities.Card - Update: Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:09:59.463 [main] INFO  org.fiap.entities.Card - Read: Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:11:10.090 [grizzly-http-server-4] INFO  org.fiap.entities.Card - Update: Card{superTrunfo=true, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}
19:11:13.668 [grizzly-http-server-5] INFO  org.fiap.entities.Card - ReadAll: [Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}, Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=false, cod_card='A3', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=true, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}]
19:11:23.344 [grizzly-http-server-7] INFO  org.fiap.entities.Card - Update: Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}
19:11:26.650 [grizzly-http-server-8] INFO  org.fiap.entities.Card - ReadAll: [Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}, Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=false, cod_card='A3', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}]
19:12:04.527 [grizzly-http-server-6] INFO  org.fiap.entities.Card - Read: Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}
19:12:13.327 [grizzly-http-server-9] INFO  org.fiap.entities.Card - Read: Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:12:13.914 [grizzly-http-server-9] INFO  org.fiap.entities.Card - Read: Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:12:13.944 [grizzly-http-server-9] INFO  org.fiap.entities.Card - Delete: Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
19:12:17.733 [grizzly-http-server-10] INFO  org.fiap.entities.Card - ReadAll: [Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}, Card{superTrunfo=false, cod_card='A3', collectionsId=2, nome='asdasdadfffasd', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}, Card{superTrunfo=false, cod_card='A4', collectionsId=2, nome='Card Name 2', nomeDeCavaleiro='Knight Name 2', grupoDeCavaleiros='Knight Group 2', soco=100, chute=200, tecnica=300, conhecimento=400, forca=500}]
19:17:51.487 [grizzly-http-server-11] INFO  org.fiap.entities.Colecoes - ReadAll: []
19:18:05.041 [main] INFO  org.fiap.entities.Colecoes - Create: Colecoes{id=0, nome='Cavaleiros do zodíaco', cards=[]}
19:18:05.361 [main] INFO  org.fiap.entities.Colecoes - Create: Colecoes{id=0, nome='Cavaleiros do zodíaco 2', cards=[]}
19:18:06.029 [main] INFO  org.fiap.entities.Card - Create: Card{superTrunfo=true, cod_card='A1', collectionsId=1, nome='Shiryu', nomeDeCavaleiro='Shiryu de Dragão', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=100, conhecimento=100, forca=100}
19:18:06.513 [main] INFO  org.fiap.entities.Card - Create: Card{superTrunfo=false, cod_card='A2', collectionsId=1, nome='Seiya', nomeDeCavaleiro='Seiya de Pégaso', grupoDeCavaleiros='Bronze', soco=100, chute=100, tecnica=500, conhecimento=500, forca=800}
